cName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,Locationx,Locationy,Type
India,11.8,11.1,12.9,13.4,14.9,19.3,19.2,24.2,30.4,28.2,425.2921706,163.4439847,tea
Sri Lanka,15.1,12.9,13.4,11.1,13.7,15,16,18,20,21.8,421.9450731,187.345475,tea
Total,3237.1,2592.3,2546.3,1446.2,1281.4,1615.4,1785.2,2378.4,2705.3,3153.3,,,coffee
Colombia,684.9,510.6,471.3,330.2,307.9,350,385.8,542.8,573.2,662.4,164.9847526,192.9517635,coffee
Brazil,340.9,486.1,320.5,156.8,175.4,274.4,274.2,443.9,489.1,612.4,202.93,225.05,coffee
Guatemala,366.6,298.6,321.5,190.6,153.2,217.5,214.7,272.5,284.3,309.6,138.5699271,173.675775,coffee
Vietnam,123.6,107.3,118.4,82.7,54.7,62.6,112.1,132.2,184.4,291.9,463.5715439,173.4607382,coffee
Indonesia,143.6,112.1,74.1,63.1,68.1,80.5,127,176.1,217,196,483.78,204.88,coffee
Total,3438.3,3619.4,3681.7,4124.1,4241.8,4904.4,5450.5,5996.8,6572.3,6940.7,,,vegetables
Mexico,1702.7,1613.3,1641.2,1958.4,1833.5,2216,2428.8,2765.9,3119,3184.9,117.76,159.56,vegetables
Canada,656.9,759.9,920.5,1000.9,1136,1279.8,1455,1507.8,1625.5,1709.7,127.66,64.64,vegetables
China,119.3,119.4,95.2,106,144.5,159.8,210.4,246.6,293.8,419.1,460.85,138.12,vegetables
Peru,36.1,68.7,72.1,75,94.9,123.4,153.2,192.8,258.6,290.6,163.8186525,216.306377,vegetables
Spain,242.3,275.7,247,255.3,270.1,300.9,316.5,313.2,276.7,257.9,276.6937304,135.9529471,vegetables
Total,5979.6,7128.5,7021.7,7135.6,7576.5,8256.1,9148.6,10654.4,11613.6,13785.2,,,fruits
Mexico,1348.5,1671.5,1359.4,1459.6,1465.6,1579.3,1900.7,2590.6,2519.2,3303.1,117.76,159.56,fruits
Chile,838.2,1091.4,1162.7,1283.4,1478.6,1569.3,1791.5,2102,2316,2569.7,142.3598534,268.2103636,fruits
Costa Rica,539.9,699.1,680.5,758.2,777.2,783.1,794.2,742.3,1257.8,1232.1,463.5715439,173.4607382,fruits
China,101.3,126.2,128.9,143.6,211.2,310,439.5,529.7,573.8,922.1,460.85,138.12,fruits
Brazil,269,333.4,354.8,255.6,220.8,352.2,332.6,416.2,433,691.1,202.93,225.05,fruits
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Mexico,552.8,397.9,446.9,166.7,133.9,128.8,122.7,125.6,181.3,189.6,117.76,159.56,Coffee
Costa Rica,155.5,122.2,115.4,96.2,109.4,126.8,147.3,155.9,141.5,150.7,463.5715439,173.4607382,Coffee
Peru,123.9,77.6,92.7,51.4,54.1,65.5,57.6,89.7,95.6,139.5,163.8186525,216.306377,Coffee
